id,name,campus,area,avg_price,open_hours,tastes,scenes,tags,latitude,longitude,image_urls
1,学子餐厅,清水河,校内,12,06:30-21:00,"[""清淡"",""家常""]","[""一个人"",""赶时间""]","[""快餐"",""盖饭""]",30.7500,103.9300,[]
2,清真食堂,清水河,校内,15,07:00-20:30,"[""西北"",""清真""]","[""同学聚餐""]","[""拉面"",""大盘鸡""]",30.7505,103.9310,[]
3,老麻抄手,清水河,西门,18,09:00-22:00,"[""麻辣"",""重口""]","[""一个人"",""夜宵""]","[""抄手"",""面食""]",30.7480,103.9280,[]
4,龙湖米线,清水河,龙湖,22,10:00-21:30,"[""清淡"",""鲜美""]","[""一个人""]","[""米线"",""汤锅""]",30.7450,103.9250,[]
5,川味小炒,沙河,校内,25,10:30-21:00,"[""麻辣"",""重口"",""香辣""]","[""同学聚餐"",""晚餐""]","[""川菜"",""炒菜""]",30.6800,104.0500,[]
6,西门烤鱼,清水河,西门,45,11:00-23:00,"[""麻辣"",""香辣"",""重口""]","[""同学聚餐"",""宿舍聚餐"",""晚餐""]","[""烤鱼"",""川菜""]",30.7475,103.9285,[]
7,银桦餐厅,清水河,校内,10,06:30-20:30,"[""清淡"",""家常"",""实惠""]","[""一个人"",""赶时间"",""早餐""]","[""快餐"",""小吃""]",30.7510,103.9315,[]
8,龙湖火锅,清水河,龙湖,60,10:00-02:00,"[""麻辣"",""重口""]","[""宿舍聚餐"",""夜宵"",""宴请""]","[""火锅""]",30.7445,103.9240,[]
9,蜀砂锅,清水河,龙湖,28,,"[""家常"",""鲜香""]","[""一个人"",""午餐"",""晚餐""]","[""砂锅"",""肉末茄子"",""砂锅鲜椒兔"",""龙湖时代天街""]",,,[]
10,劲烤地摊牛肉小串,清水河,龙湖,45,,"[""烧烤"",""香辣""]","[""同学聚餐"",""夜宵""]","[""牛肉小串"",""蜂蜜面包片"",""猪五花"",""龙湖时代天街""]",,,[]
11,小王鲜炒,清水河,龙湖,30,,"[""家常"",""香辣""]","[""一个人"",""午餐"",""晚餐""]","[""小炒"",""小炒肉"",""一碗香"",""龙湖时代天街""]",,,[]
12,无名蹄花,清水河,南门,32,,"[""清淡"",""家常""]","[""一个人"",""同学聚餐""]","[""蹄花"",""凉拌菜"",""南门""]",,,[]
13,秦味和面馆,清水河,龙湖,22,,"[""西北"",""面食""]","[""一个人"",""赶时间""]","[""面馆"",""三合一拌面"",""油泼拉条子"",""龙湖时代天街""]",,,[]
14,余记快炒,清水河,龙湖,28,,"[""家常"",""香辣""]","[""一个人"",""午餐"",""晚餐""]","[""快炒"",""仔姜肉丝"",""泡椒鸡杂"",""龙湖时代天街""]",,,[]
15,吉六六荤豆花,清水河,龙湖,35,,"[""鲜香"",""豆花""]","[""同学聚餐"",""晚餐""]","[""荤豆花"",""黄金豆汤锅底"",""龙湖时代天街""]",,,[]
16,鲜肉老友粉,清水河,龙湖,20,,"[""酸辣"",""粉面""]","[""一个人"",""赶时间""]","[""老友粉"",""虎皮凤爪"",""龙湖时代天街""]",,,[]
17,石烹木桶鱼,清水河,龙湖,58,,"[""藤椒"",""鲜辣""]","[""同学聚餐"",""晚餐""]","[""木桶鱼"",""藤椒锅底"",""黔鱼"",""龙湖时代天街""]",,,[]
18,来凤鱼璧山兔,清水河,龙湖,55,,"[""麻辣"",""重口""]","[""同学聚餐"",""晚餐""]","[""来凤鱼"",""璧山兔"",""长条馒头"",""龙湖时代天街""]",,,[]
19,旺苍酸辣粉,清水河,龙湖,16,,"[""酸辣"",""粉面""]","[""一个人"",""赶时间"",""夜宵""]","[""酸辣粉"",""龙湖时代天街""]",,,[]
20,吹炊鸡杂馆,清水河,龙湖,34,,"[""香辣"",""重口""]","[""同学聚餐"",""晚餐""]","[""鸡杂"",""美团双人套餐"",""龙湖时代天街""]",,,[]
21,小俊贝,清水河,南门,24,,"[""粤式"",""鲜香""]","[""一个人"",""午餐"",""晚餐""]","[""煲仔饭"",""黑椒牛肉"",""叉烧"",""窝蛋"",""南门""]",,,[]
22,南门叔叔肠粉,清水河,南门,14,,"[""清淡"",""粤式""]","[""早餐"",""一个人"",""赶时间""]","[""肠粉"",""原味肠粉"",""火腿"",""南门""]",,,[]
23,柳螺哥螺蛳粉,清水河,南门,18,,"[""酸辣"",""重口""]","[""一个人"",""夜宵""]","[""螺蛳粉"",""猪皮"",""腊肠"",""黄焖鸡对面""]",,,[]
24,陈蔡蔡花雕醉鸡,清水河,龙湖,38,,"[""中辣"",""鲜香""]","[""同学聚餐"",""晚餐""]","[""花雕醉鸡"",""豆腐皮"",""龙湖时代天街""]",,,[]
25,蕉简街,清水河,龙湖,32,,"[""咖喱"",""鲜香""]","[""一个人"",""午餐"",""晚餐""]","[""咖喱牛腩"",""猪颈排"",""龙湖时代天街""]",,,[]
26,刘小亮东北铁锅炖,清水河,龙湖,55,,"[""东北"",""家常""]","[""同学聚餐"",""宿舍聚餐"",""晚餐""]","[""铁锅炖"",""铁锅炖大鹅"",""锅包肉"",""龙湖时代天街""]",,,[]
27,山喜和牛自助,清水河,龙湖,88,,"[""烤肉"",""鲜香""]","[""同学聚餐"",""宴请""]","[""和牛自助"",""上脑"",""肥牛"",""龙湖时代天街""]",,,[]
28,一把骨,清水河,龙湖,45,,"[""香辣"",""重口""]","[""同学聚餐"",""夜宵""]","[""干锅"",""糯香鸭掌"",""龙湖时代天街""]",,,[]
29,贝贝乔意面,清水河,龙湖,38,,"[""西餐"",""鲜香""]","[""一个人"",""约会""]","[""意面"",""墨鱼意面"",""原切牛排"",""龙湖时代天街""]",,,[]
30,东北饺子家常菜,清水河,龙湖,28,,"[""东北"",""家常""]","[""一个人"",""同学聚餐""]","[""饺子"",""家常菜"",""溜肉段"",""东北大拉皮"",""龙湖时代天街""]",,,[]
31,盐都干锅王,清水河,龙湖,42,,"[""香辣"",""重口""]","[""同学聚餐"",""晚餐""]","[""干锅"",""干锅鸡"",""龙湖时代天街""]",,,[]
32,丁一鸣花雕醉鸡,清水河,龙湖,38,,"[""微辣"",""鲜香""]","[""同学聚餐"",""晚餐""]","[""花雕醉鸡"",""蒜香排骨"",""龙湖时代天街""]",,,[]
33,好运猪咖喱饭,清水河,龙湖,26,,"[""咖喱"",""香辣""]","[""一个人"",""午餐"",""晚餐""]","[""咖喱饭"",""厚切鸡排"",""川辣鸡排"",""龙湖时代天街""]",,,[]
34,臻溢香冒烤鸭,清水河,龙湖,30,,"[""香辣"",""烤鸭""]","[""一个人"",""午餐"",""晚餐""]","[""冒烤鸭"",""免费素菜自选"",""龙湖时代天街""]",,,[]
35,鸡公小灶,清水河,龙湖,32,,"[""家常"",""香辣""]","[""一个人"",""同学聚餐""]","[""鸡公煲"",""油豆腐"",""凤爪"",""龙湖时代天街""]",,,[]
36,老美牛排饭,清水河,龙湖,30,,"[""家常"",""肉食""]","[""一个人"",""午餐"",""晚餐""]","[""牛排饭"",""卤肉饭"",""红烧牛腩饭"",""龙湖时代天街""]",,,[]
37,点妈手工饺子,清水河,龙湖,22,,"[""家常"",""面食""]","[""一个人"",""同学聚餐""]","[""饺子"",""猪肉大葱饺"",""三鲜饺"",""龙湖时代天街""]",,,[]
38,老叶川菜馆,清水河,龙湖,38,,"[""川菜"",""麻辣""]","[""同学聚餐"",""晚餐""]","[""川菜"",""蒜香排骨"",""椒麻仔鸡"",""龙湖时代天街""]",,,[]
39,有盐有味川菜馆,清水河,龙湖,40,,"[""川菜"",""麻辣"",""重口""]","[""同学聚餐"",""晚餐""]","[""川菜"",""麻辣腰花"",""一碗香"",""龙湖时代天街""]",,,[]
40,张亮麻辣烫,清水河,龙湖,25,,"[""麻辣"",""重口""]","[""一个人"",""夜宵""]","[""麻辣烫"",""美团单人套餐"",""龙湖时代天街""]",,,[]
41,汤婆婆鸡汤饭,清水河,龙湖,24,,"[""清淡"",""鲜香""]","[""一个人"",""午餐"",""晚餐""]","[""鸡汤饭"",""排骨鸡汤饭"",""龙湖时代天街""]",,,[]
42,WIKI Burger,清水河,龙湖,36,,"[""西式"",""肉食""]","[""一个人"",""约会""]","[""汉堡"",""安格斯牛肉排饭"",""龙湖时代天街""]",,,[]
43,抱汁汁,清水河,龙湖,28,,"[""藤椒"",""香辣""]","[""一个人"",""午餐"",""晚餐""]","[""鸡腿"",""烧椒皮蛋牛肉堡"",""龙湖时代天街""]",,,[]
44,北村韩屋韩式炸鸡,清水河,龙湖,42,,"[""韩式"",""炸鸡""]","[""同学聚餐"",""夜宵""]","[""韩式炸鸡"",""海苔肉松贝贝炸鸡"",""龙湖时代天街""]",,,[]
45,达美乐披萨,清水河,龙湖,45,,"[""西式"",""鲜香""]","[""同学聚餐"",""约会""]","[""披萨"",""金沙咸蛋黄嫩鸡披萨"",""龙湖时代天街""]",,,[]
46,必胜客,清水河,龙湖,55,,"[""西式"",""鲜香""]","[""同学聚餐"",""约会""]","[""披萨"",""汉堡"",""龙湖时代天街""]",,,[]
